Period,Window,Factor,Type,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown
Out-of-Sample (2020-2025),21d,cma,Original,0.006150306840034831,0.13186865950625035,0.046639640253136244,0.3932938458094809
Out-of-Sample (2020-2025),21d,cma,VMP_Gross,-0.014630247574103429,0.08016775661533705,-0.18249540952359003,0.294571726620136
Out-of-Sample (2020-2025),21d,cma,VMP_Net,-0.02717858367809014,0.08016139867959157,-0.3390482716840316,0.30378194798538
Out-of-Sample (2020-2025),21d,umd,Original,0.03685294828476052,0.18595038819312676,0.19818699300850776,0.5224016640031005
Out-of-Sample (2020-2025),21d,umd,VMP_Gross,0.0772543957415773,0.13336420369416965,0.5792738501160088,0.3797792501977833
Out-of-Sample (2020-2025),21d,umd,VMP_Net,0.06372857728608955,0.13338351498553272,0.4777845095250473,0.39156708463700185
Crash_2015 (股灾),21d,mkt_rf,Original,-0.7074633456867471,0.5855643050649827,-1.2081736191351977,0.5310056996533085
Crash_2015 (股灾),21d,mkt_rf,VMP_Gross,-0.20050448270674442,0.13179891573444463,-1.5212908360394357,0.15626447605022875
Crash_2015 (股灾),21d,mkt_rf,VMP_Net,-0.20510812933915443,0.13178155540994455,-1.5564251666411617,0.1587250538092652
Crash_2015 (股灾),21d,smb,Original,0.27188794763132523,0.2225555983075177,1.2216630347606094,0.22567724531519215
Crash_2015 (股灾),21d,smb,VMP_Gross,0.048135261457457515,0.06227155589221286,0.7729895418186732,0.06102732242114241
Crash_2015 (股灾),21d,smb,VMP_Net,0.042813075385879494,0.06233393495635243,0.6868341524702096,0.061721138426781626
Crash_2015 (股灾),21d,hml,Original,0.02298857005301204,0.17089770274859778,0.13451655395760234,0.20870959803235245
Crash_2015 (股灾),21d,hml,VMP_Gross,0.04214024393658983,0.05039435482258822,0.8362096128612672,0.05239841292725488
Crash_2015 (股灾),21d,hml,VMP_Net,0.037215347554749194,0.050370642480470094,0.7388301145687883,0.053684334690010764
Crash_2015 (股灾),21d,rmw,Original,0.07257613768915659,0.3084338929830439,0.23530532584221037,0.3350882165174904
Crash_2015 (股灾),21d,rmw,VMP_Gross,0.2017811766913169,0.07776984419310068,2.5945940715825406,0.04076902616685375
Crash_2015 (股灾),21d,rmw,VMP_Net,0.1955732483411053,0.07751541855367372,2.523023831777225,0.041411645655230936
Crash_2015 (股灾),21d,cma,Original,-0.18255750279844332,0.16637715733946692,-1.0972510031888747,0.21217855084174958
Crash_2015 (股灾),21d,cma,VMP_Gross,0.046589664513909945,0.07479944869529909,0.6228610681837546,0.06256472062068952
Crash_2015 (股灾),21d,cma,VMP_Net,0.03574055936570586,0.07429814009990864,0.4810424502907551,0.06601775273248194
Crash_2015 (股灾),21d,umd,Original,-0.8503838040144578,0.2514078064420998,-3.382487664360989,0.4595030276059337
Crash_2015 (股灾),21d,umd,VMP_Gross,-0.59330036432679,0.139928367665011,-4.240029196561152,0.33848401523717947
Crash_2015 (股灾),21d,umd,VMP_Net,-0.6086612806267017,0.1401729173090251,-4.34221740056139,0.345010957355317
Crash_2018 (贸易战),21d,mkt_rf,Original,-0.3198278978222221,0.2242203275160459,-1.4264001010315812,0.329924576422669
Crash_2018 (贸易战),21d,mkt_rf,VMP_Gross,-0.5470891063671123,0.27074687917058077,-2.02066634357187,0.5076516329295186
Crash_2018 (贸易战),21d,mkt_rf,VMP_Net,-0.5663616353717416,0.27067718325747664,-2.092387797729521,0.5161010585363253
Crash_2018 (贸易战),21d,smb,Original,-0.042267699392592624,0.11050445406216466,-0.3824976988603082,0.13208553297121897
Crash_2018 (贸易战),21d,smb,VMP_Gross,-0.22017235361430973,0.12703844523496255,-1.7331159335828803,0.21970763247460742
Crash_2018 (贸易战),21d,smb,VMP_Net,-0.24266446417094933,0.12731850701044378,-1.9059637900956838,0.2347432003297218
Crash_2018 (贸易战),21d,hml,Original,0.06195066712592594,0.1114244513789182,0.5559880830397983,0.161464245121239
Crash_2018 (贸易战),21d,hml,VMP_Gross,0.16499963539938126,0.08489398653459657,1.943596267942247,0.08165813517223935
Crash_2018 (贸易战),21d,hml,VMP_Net,0.15128110928026076,0.08472456712654296,1.7855636730998017,0.08404099787187541
Crash_2018 (贸易战),21d,rmw,Original,0.12663224197037037,0.14463833895443484,0.8755095148753271,0.13307045123237687
Crash_2018 (贸易战),21d,rmw,VMP_Gross,0.25659923928074524,0.1173334815916549,2.186922571459734,0.07209848260929964
Crash_2018 (贸易战),21d,rmw,VMP_Net,0.23912240673181528,0.11701701900969916,2.043484005621398,0.07652883961910605
Crash_2018 (贸易战),21d,cma,Original,0.09065473251955553,0.10737497353990118,0.8442817681893787,0.10227623594199663
Crash_2018 (贸易战),21d,cma,VMP_Gross,0.11970494212128309,0.08472344274625587,1.4128904378897318,0.05393008484887688
Crash_2018 (贸易战),21d,cma,VMP_Net,0.10522360583869773,0.08457016580968184,1.2442166197887652,0.05745264897362928
Crash_2018 (贸易战),21d,umd,Original,0.06404577583703702,0.1644617292604223,0.38942662299033504,0.17891122681273558
